vaccine,producer,time,segment,Z_value,end_time,Q_value,trial,T,delta,scenario,inv,cap,cap_inc,filename
TT,BB_NCIPD,9,1,1.0,10,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,BB_NCIPD,9,1,1.0,9,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,BB_NCIPD,9,2,0.0,10,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,BB_NCIPD,9,2,0.0,9,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,BB_NCIPD,10,1,1.0,10,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,BB_NCIPD,10,2,0.0,10,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,1,1,1.0,5,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,1,1,1.0,4,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,1,1,1.0,2,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,1,1,1.0,3,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,1,1,1.0,1,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,1,2,0.0,5,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,1,2,0.0,4,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,1,2,0.0,2,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,1,2,0.0,3,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,1,2,0.0,1,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,2,1,1.0,5,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,2,1,1.0,4,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,2,1,1.0,6,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,2,1,1.0,2,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,2,1,1.0,3,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,2,2,-0.0,5,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,2,2,-0.0,4,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,2,2,-0.0,6,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,2,2,-0.0,2,-0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,2,2,-0.0,3,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,3,1,1.0,5,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,3,1,1.0,4,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,3,1,1.0,6,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,3,1,1.0,7,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,3,1,1.0,3,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,3,2,-0.0,5,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,3,2,-0.0,4,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,3,2,-0.0,6,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,3,2,-0.0,7,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,3,2,-0.0,3,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,4,1,1.0,5,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,4,1,1.0,4,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,4,1,1.0,6,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,4,1,1.0,7,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,4,1,1.0,8,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,4,2,-0.0,5,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,4,2,-0.0,4,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,4,2,-0.0,6,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,4,2,-0.0,7,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,4,2,-0.0,8,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,5,1,1.0,5,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,5,1,1.0,6,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,5,1,1.0,7,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,5,1,1.0,9,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,5,1,1.0,8,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,5,2,-0.0,5,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,5,2,-0.0,6,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,5,2,-0.0,7,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,5,2,-0.0,9,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,5,2,-0.0,8,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,6,1,1.0,6,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,6,1,1.0,7,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,6,1,1.0,10,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,6,1,1.0,9,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,6,1,1.0,8,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,6,2,-0.0,6,-0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,6,2,-0.0,7,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,6,2,-0.0,10,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,6,2,-0.0,9,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,6,2,-0.0,8,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,7,1,1.0,7,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,7,1,1.0,10,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,7,1,1.0,9,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,7,1,1.0,8,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,7,2,-0.0,7,-0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,7,2,-0.0,10,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,7,2,-0.0,9,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,7,2,-0.0,8,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,8,1,1.0,10,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,8,1,1.0,9,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,8,1,1.0,8,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,8,2,-0.0,10,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,8,2,-0.0,9,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,8,2,-0.0,8,-0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,9,1,1.0,10,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,9,1,1.0,9,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,9,2,-0.0,10,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,9,2,-0.0,9,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,10,1,1.0,10,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,Biological_E,10,2,-0.0,10,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,1,1,1.0,5,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,1,1,1.0,4,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,1,1,1.0,2,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,1,1,1.0,3,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,1,1,1.0,1,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,1,2,0.0,5,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,1,2,0.0,4,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,1,2,0.0,2,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,1,2,0.0,3,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,1,2,0.0,1,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,2,1,1.0,5,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,2,1,1.0,4,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,2,1,1.0,6,6640.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,2,1,1.0,2,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,2,1,1.0,3,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,2,2,0.0,5,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,2,2,0.0,4,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,2,2,0.0,6,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,2,2,0.0,2,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,2,2,0.0,3,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,3,1,1.0,5,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,3,1,1.0,4,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,3,1,1.0,6,6640.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,3,1,1.0,7,38350.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,3,1,1.0,3,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,3,2,0.0,5,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,3,2,0.0,4,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,3,2,0.0,6,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,3,2,0.0,7,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,3,2,0.0,3,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,4,1,1.0,5,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,4,1,1.0,4,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,4,1,1.0,6,6640.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,4,1,1.0,7,38350.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,4,1,1.0,8,60100.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,4,2,0.0,5,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,4,2,0.0,4,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,4,2,0.0,6,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,4,2,0.0,7,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,4,2,0.0,8,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,5,1,1.0,5,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,5,1,1.0,6,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,5,1,1.0,7,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,5,1,1.0,9,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,5,1,1.0,8,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,5,2,0.0,5,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,5,2,0.0,6,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,5,2,0.0,7,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,5,2,0.0,9,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,5,2,0.0,8,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,6,1,1.0,6,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,6,1,1.0,7,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,6,1,1.0,10,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,6,1,1.0,9,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,6,1,1.0,8,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,6,2,-0.0,6,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,6,2,-0.0,7,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,6,2,-0.0,10,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,6,2,-0.0,9,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,6,2,-0.0,8,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,7,1,1.0,7,31710.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,7,1,1.0,10,60100.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,7,1,1.0,9,53460.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,7,1,1.0,8,53460.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,7,2,0.0,7,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,7,2,0.0,10,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,7,2,0.0,9,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,7,2,0.0,8,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,8,1,1.0,10,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,8,1,1.0,9,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,8,1,1.0,8,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,8,2,0.0,10,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,8,2,0.0,9,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,8,2,0.0,8,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,9,1,1.0,10,6640.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
TT,PT_Bio,9,1,1.0,9,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
